Sno.,Purchase Id,Invoice No,Pur.Date,Supplier,Barcode,Category,Item,HSN Code,Tax Type,GST (%),Size,Colour,QTY - ST,Total Qty,Purchase Rate,Disc1(%),Disc1(Rs),Taxable Value,Total Tax,Total Purchase Rate,MRP,Rate
1,132,010/2023-2024,17/04/2023,Dristi Associates,UJ24,Apparel,Jeans,0,EX-TAX,5,24,Blue,99,99,565,0,0,55934.99,2796.76,58731.75,790,790
2,132,010/2023-2024,17/04/2023,Dristi Associates,UJ26,Apparel,Jeans,,EX-TAX,5,26,Blue,318,318,590,0,0,187620,9381,197001,810,810
3,132,010/2023-2024,17/04/2023,Dristi Associates,UJ28,Apparel,Jeans,,EX-TAX,5,28,Blue,299,299,600,0,0,179400,8970,188370,830,830
4,132,010/2023-2024,17/04/2023,Dristi Associates,UJ30,Apparel,Jeans,,EX-TAX,5,30,Blue,280,280,630,0,0,176400,8820,185220,880,880
5,132,010/2023-2024,17/04/2023,Dristi Associates,UJ32,Apparel,Jeans,,EX-TAX,5,32,Blue,26,26,640,0,0,16640,832,17472,890,890
6,132,010/2023-2024,17/04/2023,Dristi Associates,UJ38,Apparel,Jeans,,EX-TAX,5,38,Blue,7,7,680,0,0,4760,238,4998,890,890
7,132,010/2023-2024,17/04/2023,Dristi Associates,UJ42,Apparel,Jeans,,EX-TAX,5,42,Blue,8,8,680,0,0,5440,272,5712,890,890
8,132,010/2023-2024,17/04/2023,Dristi Associates,US22N,Apparel,Uniform Shorts,0,EX-TAX,5,22,Blue,42,42,300,0,0,12600,630,13230,500,500
9,132,010/2023-2024,17/04/2023,Dristi Associates,US24N,Apparel,Uniform Shorts,,EX-TAX,5,24,Blue,127,127,300,0,0,38100,1905,40005,500,500
10,132,010/2023-2024,17/04/2023,Dristi Associates,US26,Apparel,Uniform Shorts,,EX-TAX,5,26,Blue,103,103,300,0,0,30900,1545,32445,500,500
11,133,0,19/04/2023,Sai Book House,NLGC1,Stationary,New Learners's Grammar and Composition 1,0,Non GST,0,1,White,140,140,236,0,0,0,0,33040,295,295
12,133,0,19/04/2023,Sai Book House,NLGC2,Stationary,New Learners's Grammar and Composition 2,0,Non GST,0,2,White,168,168,276,0,0,0,0,46368,345,345
13,133,0,19/04/2023,Sai Book House,NLGC3,Stationary,New Learners's Grammar and Composition 3,0,Non GST,0,3,White,168,168,308,0,0,0,0,51744,385,385
14,133,0,19/04/2023,Sai Book House,NLGC4,Stationary,New Learners's Grammar and Composition 4,0,Non GST,0,4,White,197,197,320,0,0,0,0,63040,400,400
15,133,0,19/04/2023,Sai Book House,NLGC5,Stationary,New Learners's Grammar and Composition 5,0,Non GST,0,5,White,188,188,320,0,0,0,0,60160,400,400
16,133,0,19/04/2023,Sai Book House,LCW1,Stationary,Lucida Cursive writing1,0,Non GST,0,1,White,140,140,75.6,0,0,0,0,10584,126,126
17,133,0,19/04/2023,Sai Book House,LCW2,Stationary,Lucida Cursive writing-2,0,Non GST,0,2,White,168,168,75.6,0,0,0,0,12700.8,126,126
